bootstrap_size,no_features,max_depth,no_trees,ouralgorithm_accuracy,sklearn_accuracy
27000,100,5,40,0.846166667,0.8295
13500,100,10,50,0.950833333,0.938
13500,100,10,100,0.953166667,0.941666667
27000,100,5,30,0.841833333,0.8305
13500,100,5,100,0.849,0.837833333
27000,100,5,50,0.846333333,0.835333333
5400,100,25,50,0.950333333,0.9395
5400,100,5,100,0.851166667,0.840666667
5400,100,20,100,0.952166667,0.942333333
5400,100,20,50,0.950333333,0.940666667
5400,100,10,100,0.9455,0.936
27000,100,10,20,0.9465,0.937
5400,100,10,50,0.9415,0.932333333
5400,100,20,30,0.943,0.934
5400,100,25,30,0.943,0.934
5400,100,25,100,0.952166667,0.943333333
5400,100,20,40,0.946,0.937166667
27000,100,10,30,0.948333333,0.94
13500,100,10,40,0.945833333,0.937666667
27000,100,10,50,0.952,0.944
5400,100,15,50,0.949833333,0.941833333
5400,100,25,20,0.933166667,0.925333333
27000,100,5,20,0.8295,0.821666667
27000,100,20,50,0.9665,0.958833333
13500,100,10,30,0.944333333,0.936833333
13500,100,15,50,0.958833333,0.951333333
5400,100,25,150,0.953333333,0.946
13500,50,5,100,0.853666667,0.846666667
5400,100,25,40,0.946,0.939
5400,100,25,200,0.954333333,0.947333333
5400,100,15,100,0.951833333,0.945333333
13500,100,25,100,0.962166667,0.955833333
27000,100,10,40,0.948666667,0.9425
5400,100,20,20,0.933166667,0.927
13500,100,15,30,0.954666667,0.948666667
27000,100,5,100,0.847333333,0.841333333
27000,100,20,40,0.963666667,0.957833333
13500,100,20,100,0.962166667,0.956333333
27000,100,15,50,0.965166667,0.959333333
27000,100,20,100,0.9675,0.961666667
27000,100,15,20,0.958,0.952166667
5400,100,10,40,0.937833333,0.932
27000,100,15,100,0.966166667,0.9605
27000,100,10,10,0.930666667,0.925166667
27000,100,10,100,0.9525,0.947
13500,100,15,100,0.961333333,0.955833333
27000,100,20,30,0.963333333,0.957833333
27000,100,25,150,0.969333333,0.963833333
